temperature_2m,relative_humidity_2m,rain,cloud_cover,wind_speed_10m,Nível,temperature_2m_media_movel_4h,temperature_2m_lag_4,temperature_2m_media_movel_8h,temperature_2m_lag_8,temperature_2m_media_movel_12h,temperature_2m_lag_12,temperature_2m_media_movel_24h,temperature_2m_lag_24,relative_humidity_2m_media_movel_4h,relative_humidity_2m_lag_4,relative_humidity_2m_media_movel_8h,relative_humidity_2m_lag_8,relative_humidity_2m_media_movel_12h,relative_humidity_2m_lag_12,relative_humidity_2m_media_movel_24h,relative_humidity_2m_lag_24,rain_media_movel_4h,rain_lag_4,rain_media_movel_8h,rain_lag_8,rain_media_movel_12h,rain_lag_12,rain_media_movel_24h,rain_lag_24,cloud_cover_media_movel_4h,cloud_cover_lag_4,cloud_cover_media_movel_8h,cloud_cover_lag_8,cloud_cover_media_movel_12h,cloud_cover_lag_12,cloud_cover_media_movel_24h,cloud_cover_lag_24,wind_speed_10m_media_movel_4h,wind_speed_10m_lag_4,wind_speed_10m_media_movel_8h,wind_speed_10m_lag_8,wind_speed_10m_media_movel_12h,wind_speed_10m_lag_12,wind_speed_10m_media_movel_24h,wind_speed_10m_lag_24
14.707,95.57505,0.0,100.0,8.350138,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.657,94.95529,0.0,100.0,7.172949,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.757,92.82497,0.0,99.0,7.754637,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.707,92.82228,0.0,100.0,9.0,4.67,14.707,,,,,,,,94.0443975,,,,,,,,0.0,,,,,,,,99.75,,,,,,,,8.069431,,,,,,,
14.457,93.72021,0.0,100.0,7.5685663,4.64,14.6445,14.707,,,,,,,93.5806875,95.57505,,,,,,,0.0,0.0,,,,,,,99.75,100.0,,,,,,,7.874038075,8.350138,,,,,,
14.607,93.42296,0.0,100.0,6.12,4.61,14.632000000000001,14.657,,,,,,,93.197605,94.95529,,,,,,,0.0,0.0,,,,,,,99.75,100.0,,,,,,,7.610800825,7.172949,,,,,,
14.707,93.12466,0.0,100.0,5.3999996,4.58,14.6195,14.757,,,,,,,93.27252750000001,92.82497,,,,,,,0.0,0.0,,,,,,,100.0,99.0,,,,,,,7.022141475,7.754637,,,,,,
14.907,94.04598,0.0,100.0,6.849467,4.54,14.6695,14.707,14.68825,,,,,,93.5784525,92.82228,93.811425,,,,,,0.0,0.0,0.0,,,,,,100.0,100.0,99.875,,,,,,6.484508225,9.0,7.2769696125,,,,,
15.807,89.34695,0.0,100.0,8.891344,4.51,15.007,14.457,14.825750000000001,14.707,,,,,92.48513750000001,93.72021,93.0329125,95.57505,,,,,0.0,0.0,0.0,0.0,,,,,100.0,100.0,99.875,100.0,,,,,6.81520265,7.5685663,7.3446203625,8.350138,,,,
17.207,83.33948,0.0,96.0,12.387348,4.44,15.657,14.607,15.1445,14.657,,,,,89.9642675,93.42296,91.58093625,94.95529,,,,,0.0,0.0,0.0,0.0,,,,,99.0,100.0,99.375,100.0,,,,,8.38203965,6.12,7.996420237500001,7.172949,,,,
