temperature_2m,relative_humidity_2m,rain,cloud_cover,Nível,temperature_2m_lag_1,temperature_2m_lag_2,temperature_2m_lag_3,temperature_2m_lag_4,temperature_2m_avg_4h,relative_humidity_2m_lag_1,relative_humidity_2m_lag_2,relative_humidity_2m_lag_3,relative_humidity_2m_lag_4,relative_humidity_2m_avg_4h,rain_lag_1,rain_lag_2,rain_lag_3,rain_lag_4,rain_avg_4h,cloud_cover_lag_1,cloud_cover_lag_2,cloud_cover_lag_3,cloud_cover_lag_4,cloud_cover_avg_4h,Nível_lag_1,Nível_lag_2,Nível_lag_3,Nível_lag_4,Nível_avg_4h
11.307,96.095985,0.5,100.0,3.03,,,,,11.307,,,,,96.095985,,,,,0.5,,,,,100.0,,,,,3.03
11.107,98.027794,0.0,100.0,3.0,11.307,,,,11.207,96.095985,,,,97.0618895,0.5,,,,0.25,100.0,,,,100.0,3.03,,,,3.015
11.157,97.70335,0.1,100.0,2.98,11.107,11.307,,,11.190333333333331,98.027794,96.095985,,,97.27570966666669,0.0,0.5,,,0.1999999999999999,100.0,100.0,,,100.0,3.0,3.03,,,3.0033333333333334
11.107,97.70244,0.0,100.0,2.96,11.157,11.107,11.307,,11.1695,97.70335,98.027794,96.095985,,97.38239225,0.1,0.0,0.5,,0.15,100.0,100.0,100.0,,100.0,2.98,3.0,3.03,,2.9925
11.057,99.66876,0.2,100.0,2.95,11.107,11.157,11.107,11.307,11.147,97.70244,97.70335,98.027794,96.095985,97.8396658,0.0,0.1,0.0,0.5,0.16,100.0,100.0,100.0,100.0,100.0,2.96,2.98,3.0,3.03,2.984
10.957,99.0084,0.0,100.0,2.92,11.057,11.107,11.157,11.107,11.077000000000002,99.66876,97.70244,97.70335,98.027794,98.4221488,0.2,0.0,0.1,0.0,0.06,100.0,100.0,100.0,100.0,100.0,2.95,2.96,2.98,3.0,2.962
10.907,98.67929,0.0,100.0,2.91,10.957,11.057,11.107,11.157,11.037,99.0084,99.66876,97.70244,97.70335,98.552448,0.0,0.2,0.0,0.1,0.06,100.0,100.0,100.0,100.0,100.0,2.92,2.95,2.96,2.98,2.9440000000000004
10.957,99.668495,0.1,100.0,2.9,10.907,10.957,11.057,11.107,10.997,98.67929,99.0084,99.66876,97.70244,98.945477,0.0,0.0,0.2,0.0,0.06,100.0,100.0,100.0,100.0,100.0,2.91,2.92,2.95,2.96,2.928
11.107,97.70244,0.0,100.0,2.89,10.957,10.907,10.957,11.057,10.997000000000002,99.668495,98.67929,99.0084,99.66876,98.945477,0.1,0.0,0.0,0.2,0.06,100.0,100.0,100.0,100.0,100.0,2.9,2.91,2.92,2.95,2.914
11.107,95.77028,0.1,100.0,2.88,11.107,10.957,10.907,10.957,11.007,97.70244,99.668495,98.67929,99.0084,98.165781,0.0,0.1,0.0,0.0,0.04,100.0,100.0,100.0,100.0,100.0,2.89,2.9,2.91,2.92,2.9
