Data,Nível
2023-09-29 00:00:00,4.75
2023-09-29 01:00:00,4.73
2023-09-29 02:00:00,4.7
2023-09-29 03:00:00,4.67
2023-09-29 04:00:00,4.64
2023-09-29 05:00:00,4.61
2023-09-29 06:00:00,4.58
2023-09-29 07:00:00,4.54
2023-09-29 08:00:00,4.51
2023-09-29 09:00:00,4.44
2023-09-29 10:00:00,4.38
2023-09-29 11:00:00,4.36
2023-09-29 12:00:00,4.32
2023-09-29 13:00:00,4.29
2023-09-29 14:00:00,4.25
2023-09-29 15:00:00,4.2
2023-09-29 16:00:00,4.2
2023-09-29 17:00:00,4.19
2023-09-29 18:00:00,4.16
2023-09-29 19:00:00,4.13
2023-09-29 20:00:00,4.1
2023-09-29 21:00:00,4.08
2023-09-29 22:00:00,4.05
2023-09-29 23:00:00,4.02
2023-09-30 00:00:00,3.99
2023-09-30 01:00:00,3.96
2023-09-30 02:00:00,3.93
2023-09-30 03:00:00,3.92
2023-09-30 04:00:00,3.89
2023-09-30 05:00:00,3.86
2023-09-30 06:00:00,3.85
2023-09-30 07:00:00,3.85
2023-09-30 08:00:00,3.84
2023-09-30 09:00:00,3.84
2023-09-30 10:00:00,3.9
2023-09-30 11:00:00,3.88
2023-09-30 12:00:00,3.9
2023-09-30 13:00:00,3.9
2023-09-30 14:00:00,3.94
2023-09-30 15:00:00,3.96
2023-09-30 16:00:00,3.99
2023-09-30 17:00:00,4.0
2023-09-30 18:00:00,4.01
2023-09-30 19:00:00,4.01
2023-09-30 20:00:00,4.0
2023-09-30 21:00:00,3.99
2023-09-30 22:00:00,3.98
2023-09-30 23:00:00,3.97
2023-10-01 00:00:00,3.98
2023-10-02 00:00:00,4.26
2023-10-02 01:00:00,4.26
2023-10-02 02:00:00,4.28
2023-10-02 03:00:00,4.28
2023-10-02 04:00:00,4.28
2023-10-02 05:00:00,4.28
2023-10-02 06:00:00,4.29
2023-10-02 07:00:00,4.3
2023-10-02 08:00:00,4.26
2023-10-02 09:00:00,4.25
2023-10-02 10:00:00,4.23
2023-10-02 11:00:00,4.2
2023-10-02 12:00:00,4.22
2023-10-02 13:00:00,4.2
2023-10-02 14:00:00,4.15
2023-10-02 15:00:00,4.11
2023-10-02 16:00:00,4.1
2023-10-02 17:00:00,4.2
2023-10-02 18:00:00,4.23
2023-10-02 19:00:00,4.23
2023-10-02 20:00:00,4.25
2023-10-02 21:00:00,4.23
2023-10-02 22:00:00,4.23
2023-10-02 23:00:00,4.22
2023-10-03 00:00:00,4.2
2023-10-03 01:00:00,4.19
2023-10-03 02:00:00,4.17
2023-10-03 03:00:00,4.15
2023-10-03 04:00:00,4.13
2023-10-03 05:00:00,4.1
2023-10-03 06:00:00,4.07
2023-10-03 07:00:00,4.04
2023-10-03 08:00:00,3.99
2023-10-03 09:00:00,3.95
2023-10-03 10:00:00,3.89
2023-10-03 11:00:00,3.83
2023-10-03 12:00:00,3.77
2023-10-03 13:00:00,3.72
2023-10-03 14:00:00,3.67
2023-10-03 15:00:00,3.54
2023-10-03 16:00:00,3.45
2023-10-03 17:00:00,3.45
2023-10-03 18:00:00,3.38
2023-10-03 19:00:00,3.33
2023-10-03 20:00:00,3.24
2023-10-03 21:00:00,3.16
2023-10-03 22:00:00,3.06
2023-10-03 23:00:00,3.0
2023-10-04 00:00:00,2.95
2023-10-05 00:00:00,8.29
2023-10-05 01:00:00,8.26
2023-10-05 02:00:00,8.21
2023-10-05 03:00:00,8.17
2023-10-05 04:00:00,8.11
2023-10-05 05:00:00,8.06
2023-10-05 06:00:00,8.01
2023-10-05 07:00:00,7.97
2023-10-05 08:00:00,7.91
2023-10-05 09:00:00,7.89
2023-10-05 10:00:00,7.82
2023-10-05 11:00:00,7.78
2023-10-05 12:00:00,7.75
2023-10-05 13:00:00,7.7
2023-10-05 14:00:00,7.66
2023-10-05 15:00:00,7.63
2023-10-05 16:00:00,7.6
2023-10-05 17:00:00,7.58
2023-10-05 18:00:00,7.55
2023-10-05 19:00:00,7.51
2023-10-05 20:00:00,7.48
2023-10-05 21:00:00,7.46
2023-10-05 22:00:00,7.44
2023-10-05 23:00:00,7.41
2023-10-06 00:00:00,7.37
