iter	RMSE
0	1.546697063
1	1.527443508
2	1.51019471
3	1.494463589
4	1.478870118
5	1.465953543
6	1.455183472
7	1.444500678
8	1.435297946
9	1.425751723
10	1.416124568
11	1.408905088
12	1.402280855
13	1.395492133
14	1.38944907
15	1.382600319
16	1.376684735
17	1.371513257
18	1.366193082
19	1.361639521
20	1.357060936
21	1.352540158
22	1.348568391
23	1.345069196
24	1.34206482
25	1.337896875
26	1.33436897
27	1.331250872
28	1.327199724
29	1.324477248
30	1.320869051
31	1.317489099
32	1.315300642
33	1.312394384
34	1.30908017
35	1.306656414
36	1.304173341
37	1.302264911
38	1.300257812
39	1.29641133
40	1.294022555
41	1.291955939
42	1.289790075
43	1.288150268
44	1.285865855
45	1.281833775
46	1.279059636
47	1.277502523
48	1.2735479
49	1.271775374
50	1.269405642
51	1.267574918
52	1.266435474
53	1.263573664
54	1.261166139
55	1.259532374
56	1.257785701
57	1.255357903
58	1.254063733
59	1.251370153
60	1.249896426
61	1.247466689
62	1.24588888
63	1.244033692
64	1.242903974
65	1.240865575
66	1.239798044
67	1.237809423
68	1.235850291
69	1.234382077
70	1.232553278
71	1.231596323
72	1.230432615
73	1.229178258
74	1.227657791
75	1.22485514
76	1.222359141
77	1.221137205
78	1.218929918
79	1.21684222
80	1.215762121
81	1.214875948
82	1.213168842
83	1.211587708
84	1.208573683
85	1.2068105
86	1.205193367
87	1.203263189
88	1.20134209
89	1.200798032
90	1.199494615
91	1.197434233
92	1.195545973
93	1.194347415
94	1.192509655
95	1.191120571
96	1.190098884
97	1.188625659
98	1.187224184
99	1.185855769
100	1.184037133
101	1.182869255
102	1.180984627
103	1.180027865
104	1.178954141
105	1.178059397
106	1.175326671
107	1.173876271
108	1.171942422
109	1.169808009
110	1.168406805
111	1.165528634
112	1.164666723
113	1.163761865
114	1.161641182
115	1.160180927
116	1.158437722
117	1.15666109
118	1.155168139
119	1.154660348
120	1.152481016
121	1.151102498
122	1.148838692
123	1.146670722
124	1.145502543
125	1.143930759
126	1.142726259
127	1.141032421
128	1.140006354
129	1.139503614
130	1.138061321
131	1.136529754
132	1.13580043
133	1.134719284
134	1.133230764
135	1.131315384
136	1.129039758
137	1.127383628
138	1.126358219
139	1.125837574
140	1.124358711
141	1.122518016
142	1.119982361
143	1.118386986
144	1.117086353
145	1.116304675
146	1.115667306
147	1.114226709
148	1.112774896
149	1.111762504
150	1.11032068
151	1.10862173
152	1.107274739
153	1.10511679
154	1.104673554
155	1.103300031
156	1.102059268
157	1.10039586
158	1.098913332
159	1.097897666
160	1.096255699
161	1.094533073
162	1.092711156
163	1.091132176
164	1.089871461
165	1.088656275
166	1.086965068
167	1.08554408
168	1.084182279
169	1.083417758
170	1.082073986
171	1.080433465
172	1.078374324
173	1.077092689
174	1.07613642
175	1.074571643
176	1.073104909
177	1.071921421
178	1.07011202
179	1.069049305
180	1.066746365
181	1.065154457
182	1.064085117
183	1.062313405
184	1.060569325
185	1.059459866
186	1.057449416
187	1.055857407
188	1.054677489
189	1.053228271
190	1.051404426
191	1.050467666
192	1.049364642
193	1.047432172
194	1.045892117
195	1.044685587
196	1.043500372
197	1.041953585
198	1.040938335
199	1.040479833
200	1.038864227
201	1.037604183
202	1.036080894
203	1.035000431
204	1.033725244
205	1.032582118
206	1.030943036
207	1.02949499
208	1.027968054
209	1.02679856
210	1.024963115
211	1.023581898
212	1.021612671
213	1.02064859
214	1.019078661
215	1.018042124
216	1.015864595
217	1.014777636
218	1.013587745
219	1.012962942
220	1.011322913
221	1.010318113
222	1.009326015
223	1.008106056
224	1.006994753
225	1.005169881
226	1.003584956
227	1.002345247
228	1.001099343
229	1.000030585
230	0.9991861158
231	0.997443471
232	0.9966553273
233	0.9948515082
234	0.9934476107
235	0.9920816838
236	0.9911025851
237	0.9899361625
238	0.9892049795
239	0.9877166451
240	0.9861130188
241	0.9845355736
242	0.9828651284
243	0.9816711113
244	0.9806538253
245	0.9799926166
246	0.9788978278
247	0.9775112542
248	0.9763460794
249	0.9751147212
250	0.9736542796
251	0.9728367809
252	0.9714376116
253	0.9700987279
254	0.9695767308
255	0.9682045137
256	0.9671245399
257	0.9667786693
258	0.9662792311
259	0.9647477652
260	0.9634197732
261	0.9622456335
262	0.9611937013
263	0.960589729
264	0.9595764483
265	0.9587976136
266	0.9576168124
267	0.9566877843
268	0.9559140038
269	0.9549887105
270	0.9543495467
271	0.9535531798
272	0.9528398379
273	0.9516760116
274	0.9505032656
275	0.9493111264
276	0.9485365707
277	0.948060531
278	0.9473252431
279	0.9463411268
280	0.945190066
281	0.9443420152
282	0.9435060086
283	0.9427669351
284	0.9420053336
285	0.9411147581
286	0.9402544559
287	0.9392391725
288	0.9383219645
289	0.937462589
290	0.9362934562
291	0.9351361663
292	0.9337727538
293	0.9325323297
294	0.931934801
295	0.9313316706
296	0.9302628099
297	0.9295142922
298	0.92823157
299	0.927562567
300	0.9266842566
301	0.9257453874
302	0.9251917256
303	0.9243048099
304	0.9236841718
305	0.9228671838
306	0.921467899
307	0.9199797998
308	0.9193189784
309	0.9185162837
310	0.9177278645
311	0.9161758691
312	0.9156213801
313	0.9146490658
314	0.9133565248
315	0.9125754303
