iter	Passed	Remaining
0	17	17611
1	21	10968
2	26	8668
3	30	7535
4	34	6774
5	38	6423
6	42	6036
7	46	5743
8	50	5515
9	54	5360
10	58	5241
11	61	5102
12	66	5032
13	70	4958
14	75	4962
15	80	4966
16	84	4906
17	88	4826
18	92	4770
19	96	4741
20	100	4681
21	104	4643
22	108	4608
23	113	4596
24	116	4558
25	121	4540
26	124	4503
27	129	4486
28	133	4462
29	138	4481
30	142	4467
31	146	4446
32	150	4412
33	155	4415
34	159	4391
35	163	4381
36	168	4397
37	173	4387
38	177	4365
39	181	4357
40	185	4339
41	192	4399
42	199	4431
43	204	4441
44	208	4415
45	230	4774
46	235	4766
47	239	4756
48	244	4740
49	249	4740
50	255	4746
51	259	4737
52	267	4781
53	274	4814
54	284	4886
55	292	4935
56	298	4942
57	316	5139
58	326	5199
59	331	5192
60	339	5226
61	345	5221
62	349	5199
63	354	5180
64	358	5151
65	362	5128
66	366	5105
67	371	5087
68	376	5081
69	381	5064
70	385	5040
71	389	5014
72	393	4990
73	396	4966
74	400	4937
75	404	4919
76	408	4897
77	412	4871
78	417	4861
79	421	4848
80	425	4822
81	429	4811
82	433	4791
83	437	4773
84	441	4755
85	445	4737
86	449	4717
87	453	4701
88	457	4683
89	461	4665
90	465	4649
91	469	4632
92	473	4621
93	478	4607
94	482	4593
95	486	4582
96	490	4563
97	495	4559
98	498	4541
99	503	4531
100	510	4543
101	515	4539
102	522	4554
103	528	4552
104	532	4539
105	536	4528
106	541	4519
107	545	4507
108	549	4494
109	554	4484
110	559	4484
111	564	4474
112	567	4458
113	572	4447
114	578	4450
115	582	4436
116	586	4427
117	590	4416
118	595	4408
119	599	4394
120	603	4382
121	607	4368
122	612	4363
123	615	4349
124	621	4351
125	624	4334
126	628	4323
127	633	4312
128	638	4309
129	641	4295
130	646	4285
131	650	4274
132	654	4263
133	657	4251
134	662	4246
135	666	4235
136	670	4224
137	675	4219
138	679	4207
139	682	4194
140	686	4184
141	690	4172
142	694	4161
143	699	4156
144	702	4144
145	707	4137
146	716	4159
147	721	4150
148	728	4159
149	732	4148
150	736	4138
151	740	4133
152	744	4121
153	749	4115
154	752	4104
155	757	4096
156	761	4088
157	765	4079
158	769	4071
159	773	4062
160	777	4051
161	781	4042
162	785	4033
163	789	4026
164	794	4019
165	798	4010
166	802	4001
167	807	3998
168	811	3989
169	816	3985
170	820	3975
171	827	3981
172	846	4048
173	851	4040
174	857	4040
175	861	4034
176	865	4026
177	870	4017
178	878	4027
179	882	4019
180	886	4009
181	892	4009
182	897	4005
183	901	3996
184	905	3987
185	910	3984
186	914	3975
187	918	3966
188	923	3961
189	927	3954
190	932	3948
191	936	3941
192	942	3939
193	958	3981
194	962	3973
195	968	3972
196	974	3970
197	980	3971
198	988	3978
199	992	3971
200	996	3960
201	1003	3966
202	1009	3963
203	1018	3974
204	1025	3976
205	1040	4010
206	1048	4014
207	1052	4007
208	1060	4015
209	1064	4005
210	1069	3997
211	1073	3991
212	1078	3985
213	1086	3988
214	1089	3979
215	1094	3973
216	1102	3979
217	1106	3969
218	1114	3972
219	1118	3965
220	1125	3968
221	1129	3958
222	1134	3953
223	1143	3960
224	1158	3990
225	1168	4000
226	1179	4018
227	1184	4009
228	1189	4004
229	1195	4003
230	1207	4019
231	1223	4050
232	1237	4072
233	1243	4069
234	1249	4068
235	1263	4091
236	1268	4084
237	1275	4084
238	1290	4109
239	1300	4116
240	1305	4110
241	1320	4136
242	1331	4148
243	1350	4184
244	1365	4207
245	1380	4230
246	1384	4220
247	1390	4216
248	1395	4210
249	1401	4205
250	1408	4202
251	1412	4193
252	1418	4187
253	1422	4177
254	1426	4166
255	1430	4157
256	1435	4148
257	1439	4139
258	1444	4131
259	1449	4124
260	1456	4125
261	1463	4121
262	1468	4115
263	1474	4109
264	1479	4103
265	1485	4098
266	1491	4095
267	1496	4088
268	1503	4086
269	1508	4079
270	1514	4074
271	1521	4071
272	1527	4067
273	1534	4065
274	1538	4055
275	1543	4047
276	1548	4041
277	1554	4036
278	1560	4031
279	1566	4027
280	1572	4022
281	1577	4017
